1,0
2,1
1,2
2,3
1,41
2,60
1,44
2,63
3,4
3,5
1,16
2,61
3,6
3,7
1,18
2,59
1,58
2,57
1,56
2,55
1,54
2,53
1,52
2,51
1,50
2,49
1,48
2,47
1,46
2,45
1,70
2,73
1,68
2,72
1,66
2,71
1,64
2,69
1,62
2,67
1,60
2,65
2,63
3,4
3,5
1,16
2,61
3,6
3,7
2,59
1,58
2,57
1,56
2,55
1,54
2,53
1,52
2,51
1,50
2,49
1,48
2,47
1,46
2,45
1,70
2,73
1,68
2,72
1,66
2,71
1,64
2,69
1,62
2,67
1,60
2,65
2,63
3,4
3,5
1,16
2,61
3,6
3,7
2,59
1,18
2,17
1,20
2,19
1,22
2,21
1,24
2,23
1,26
2,25
1,28
2,27
1,30
2,29
1,32
2,31
1,34
2,33
1,36
2,35
1,38
2,37
1,40
2,39
1,42
2,41
1,43
1,44
3,4
3,5
1,16
2,61
3,6
3,7
1,18
2,17
1,20
2,19
1,22
2,21
1,24
2,23
1,26
2,25
1,28
2,27
1,30
2,29
1,32
2,31
1,34
2,33
1,36
2,35
1,38
2,37
1,40
2,39
1,42
2,41
1,43
1,44
3,4
3,5
1,16
2,61
3,6
3,7
2,59
1,18
2,58
1,17
2,9
1,8
2,11
1,10
